id,name,host_source_id,host_source,type,logo_100px,ios_appstore_url,android_playstore_url,android_scheme,ios_scheme,regions
442,DirecTV On Demand,,,sub,https://cdn.watchmode.com/provider_logos/directv_on_demand_100px.png,https://apps.apple.com/app/directv/id307386350,,,directv,['US']
427,7plus,,,free,https://cdn.watchmode.com/provider_logos/427_generic_v4.png,,,,seven,['AU']
426,9Now,,,free,https://cdn.watchmode.com/provider_logos/426_generic_v4.png,,,,ninenow,['AU']
7,A&E,,,free,https://cdn.watchmode.com/provider_logos/ae_100px.png,http://itunes.apple.com/app/a-e/id571711580,https://play.google.com/store/apps/details?id=com.aetn.aetv.watch,aetvplus,aetvplus,['US']
8,A&E,,,tve,https://cdn.watchmode.com/provider_logos/ae_100px.png,http://itunes.apple.com/app/a-e/id571711580,https://play.google.com/store/apps/details?id=com.aetn.aetv.watch,aetvplus,aetvplus,['US']
428,ABC iview,,,free,https://cdn.watchmode.com/provider_logos/428_generic_v4.png,,,,iview,['AU']
17,Acorn TV,,,sub,https://cdn.watchmode.com/provider_logos/acorn_tv_100px.png,http://itunes.apple.com/app/acorn-tv/id896014310,,,acorn,"['GB', 'US', 'CA', 'AU', 'NZ']"
19,Adult Swim,,,free,https://cdn.watchmode.com/provider_logos/adultswim_100px.png,http://itunes.apple.com/app/adult-swim/id417871100,https://play.google.com/store/apps/details?id=com.adultswim.videoapp.android,adultswim,adultswim,['US']
20,Adult Swim,,,tve,https://cdn.watchmode.com/provider_logos/adultswim_100px.png,http://itunes.apple.com/app/adult-swim/id417871100,https://play.google.com/store/apps/details?id=com.adultswim.videoapp.android,adultswim,adultswim,['US']
12,AHC GO,,,tve,https://cdn.watchmode.com/provider_logos/ahc_100px.png,http://itunes.apple.com/app/id1111279987,https://play.google.com/store/apps/details?id=com.discovery.ahcgo,ahc-go,ahc-go,['US']
506,Allente,,,sub,https://cdn.watchmode.com/provider_logos/506_generic_v4.png,,,,,['DK']
461,Amazon MX Player,24.0,Amazon,free,https://cdn.watchmode.com/provider_logos/461_generic_v4.png,,,,,['IN']
378,AMC+,,,sub,https://cdn.watchmode.com/provider_logos/378_generic_v4.png,http://itunes.apple.com/app/amc-stream-tv-shows-movies/id1025120568,https://play.google.com/store/apps/details?id=com.amctve.amcfullepisodes,amcmobileapp,amcmobileapp,"['AU', 'CA', 'NZ', 'US']"
30,Animal Planet GO,,,tve,https://cdn.watchmode.com/provider_logos/apgo_100px.png,http://itunes.apple.com/app/id1101434093,https://play.google.com/store/apps/details?id=com.discovery.aplgo,apl-go,apl-go,['US']
551,Animation Digital Network,,,sub,https://cdn.watchmode.com/provider_logos/551_generic_v4.png,,,,,"['DE', 'FR']"
572,Anime Times Amazon Channel,24.0,Amazon,sub,https://cdn.watchmode.com/provider_logos/572_generic_v4.png,,,,,"['IN', 'JP']"
602,Aniverse Amazon Channel,24.0,Amazon,sub,https://cdn.watchmode.com/provider_logos/602_generic_v4.png,,,,,"['AT', 'DE']"
522,Apple TV,,,sub,https://cdn.watchmode.com/provider_logos/522_generic_v4.png,,,,,['US']
686,ARD Mediathek,,,free,https://cdn.watchmode.com/provider_logos/686_generic_v4.png,,,,,['DE']
567,ARD Plus,,,sub,https://cdn.watchmode.com/provider_logos/567_generic_v4.png,,,,,['DE']
532,ARD Plus (Via Amazon Prime),24.0,Amazon,sub,https://cdn.watchmode.com/provider_logos/532_generic_v4.png,,,,,"['AT', 'CH', 'DE']"
566,Arrow Video Amazon Channel,24.0,Amazon,sub,https://cdn.watchmode.com/provider_logos/566_generic_v4.png,,,,,['GB']
546,Atres Player,,,sub,https://cdn.watchmode.com/provider_logos/546_generic_v4.png,,,,,['ES']
32,BBC America,,,tve,https://cdn.watchmode.com/provider_logos/bbc_america_100px.png,itms-apps:/itunes.apple.com/us/app/bbc-america/id1089249069,https://play.google.com/store/apps/details?id=com.bbca.bbcafullepisodes,,bbcatvapp,['US']
437,Beamafilm,,,sub,https://cdn.watchmode.com/provider_logos/437_generic_v4.png,,,,,"['AU', 'NZ']"
595,beIN Sports,,,sub,https://cdn.watchmode.com/provider_logos/595_generic_v4.png,,,,,['AU']
34,BET,,,tve,https://cdn.watchmode.com/provider_logos/bet_100px.png,http://itunes.apple.com/app/bet-now-watch-shows/id841118013,https://play.google.com/store/apps/details?id=com.bet.shows,betnetworkapp,betnetworkapp,['US']
382,BET+,,,sub,https://cdn.watchmode.com/provider_logos/betplus_100px.png,http://itunes.apple.com/app/id1456618978,https://play.google.com/store/apps/details?id=com.viacom.betplus,android-app,betplus,['US']
410,BFI Player,,,sub,https://cdn.watchmode.com/provider_logos/410_generic_v4.png,,,vhxbritishfilminstitute,vhxbritishfilminstitute,['GB']
494,Blockbuster,,,purchase,https://cdn.watchmode.com/provider_logos/494_generic_v4.png,,,,,"['DK', 'FI', 'NO', 'SE']"
568,blue TV,,,purchase,https://cdn.watchmode.com/provider_logos/568_generic_v4.png,,,,,['CH']
46,Bravo,,,tve,https://cdn.watchmode.com/provider_logos/bravo_100px.png,http://itunes.apple.com/app/bravo-now/id383925190,https://play.google.com/store/apps/details?id=com.nbcu.tve.bravo,bravotve,bravotve,['US']
376,Britbox,,,sub,https://cdn.watchmode.com/provider_logos/britbox_100px.png,,,,,"['GB', 'US', 'CA', 'AU', 'DK', 'FI', 'NO', 'SE']"
377,Britbox (Via Amazon Prime),24.0,Amazon,sub,https://cdn.watchmode.com/provider_logos/britbox_primeVideo_100px.png,,,intent,aiv,"['US', 'CA', 'AU', 'SE', 'GB']"
496,Canal VOD,,,purchase,https://cdn.watchmode.com/provider_logos/496_generic_v4.png,,,,,['FR']
517,Canal+,,,sub,https://cdn.watchmode.com/provider_logos/517_generic_v4.png,,,,,"['AT', 'CH', 'FR', 'NL', 'PL']"
62,Cartoon Network,,,tve,https://cdn.watchmode.com/provider_logos/cn_100px.png,http://itunes.apple.com/app/watch-cartoon-network-videos/id404593641,https://play.google.com/store/apps/details?id=com.turner.cnvideoapp,cartoonnetwork,cartoonnetwork,['US']
63,Cartoon Network,,,free,https://cdn.watchmode.com/provider_logos/cn_100px.png,http://itunes.apple.com/app/watch-cartoon-network-videos/id404593641,https://play.google.com/store/apps/details?id=com.turner.cnvideoapp,cartoonnetwork,cartoonnetwork,['US']
665,CBC Gem Subscription,,,sub,https://cdn.watchmode.com/provider_logos/665_generic_v4.png,,,,,['CA']
50,CBS,,,free,https://cdn.watchmode.com/provider_logos/cbs_100px.png,http://itunes.apple.com/app/cbs/id530168168,https://play.google.com/store/apps/details?id=com.cbs.app,cbs,cbs,['US']
53,CBS News,,,free,https://cdn.watchmode.com/provider_logos/cbs_news_100px.png,http://itunes.apple.com/app/cbs-news/id334256223,https://play.google.com/store/apps/details?id=com.treemolabs.apps.cbsnews,,,['US']
604,CDA Premium,,,sub,https://cdn.watchmode.com/provider_logos/604_generic_v4.png,,,,,['PL']
441,Chili,,,purchase,https://cdn.watchmode.com/provider_logos/441_generic_v4.png,,,,,"['GB', 'PL', 'IT']"
384,Cinemax (Via Hulu),157.0,Hulu,sub,https://cdn.watchmode.com/provider_logos/384_generic_v4.png,,,hulu,hulu,['US']
397,Cineplex,,,purchase,https://cdn.watchmode.com/provider_logos/397_generic_v4.png,,,,com.cineplex.store.tv.product:?movieId=815732,['CA']
481,Cineverse,,,free,https://cdn.watchmode.com/provider_logos/481_generic_v4.png,,,,,"['CA', 'US']"
667,Cineverse Subscription,,,sub,https://cdn.watchmode.com/provider_logos/667_generic_v4.png,,,,,['US']
618,Cinu,,,sub,https://cdn.watchmode.com/provider_logos/618_generic_v4.png,,,,,['CH']
473,Citytv+,,,sub,https://cdn.watchmode.com/provider_logos/473_generic_v4.png,,,,,['CA']
484,Citytv+ (Via Amazon Prime),24.0,Amazon,sub,https://cdn.watchmode.com/provider_logos/484_generic_v4.png,,,,,['CA']
549,Claro tv+,,,sub,https://cdn.watchmode.com/provider_logos/549_generic_v4.png,,,,,['BR']
449,Clarovideo,,,sub,https://cdn.watchmode.com/provider_logos/449_generic_v4.png,,,,,"['BR', 'AR', 'CO', 'MX']"
476,Club Illico,,,sub,https://cdn.watchmode.com/provider_logos/476_generic_v4.png,,,,,['CA']
483,Crave (Via Amazon Prime),24.0,Amazon,sub,https://cdn.watchmode.com/provider_logos/483_generic_v4.png,,,,,['CA']
79,Crunchyroll,,,free,https://cdn.watchmode.com/provider_logos/crunchyroll_100px.png,http://itunes.apple.com/app/crunchyroll-watch-anime-drama/id329913454,https://play.google.com/store/apps/details?id=com.crunchyroll.crunchyroid,crunchyroll,crunchyroll,"['CA', 'US', 'GB']"
491,Crunchyroll Premium (Via Amazon Prime),24.0,Amazon,sub,https://cdn.watchmode.com/provider_logos/491_generic_v4.png,,,,,"['AR', 'AT', 'AU', 'BE', 'BR', 'CA', 'CH', 'CO', 'DE', 'DK', 'ES', 'FI', 'FR', 'GB', 'IE', 'IN', 'IT', 'MX', 'NL', 'NO', 'NZ', 'PL', 'PT', 'SE', 'US']"
403,CTV,,,free,https://cdn.watchmode.com/provider_logos/403_generic_v4.png,,,,,['CA']
421,Curiosity Stream,,,sub,https://cdn.watchmode.com/provider_logos/421_generic_v4.png,,,,curiositystream,"['AR', 'BE', 'CO', 'CA', 'DE', 'FI', 'IS', 'NO', 'PL', 'AT', 'ZA', 'AE', 'BG', 'CH', 'CL', 'CZ', 'EC', 'GR', 'HK', 'HR', 'HU', 'ID', 'IL', 'MY', 'PA', 'PE', 'PH', 'PT', 'RO', 'RS', 'RU', 'TH', 'TR', 'UA', 'VN', 'IT', 'US', 'GB', 'AU', 'BR', 'DK', 'EE', 'ES', 'FR', 'IE', 'IN', 'JP', 'KR', 'NL', 'NZ', 'SE', 'SG', 'LT', 'MX']"
412,Curzon Home Cinema,,,purchase,https://cdn.watchmode.com/provider_logos/412_generic_v4.png,,,,,"['GB', 'IE']"
284,The CW,,,free,https://cdn.watchmode.com/provider_logos/cw_100px.png,http://itunes.apple.com/app/the-cw-network/id491730359,https://play.google.com/store/apps/details?id=com.cw.fullepisodes.android,cwtv,cwtv,['US']
573,dAnime Amazon Channel,24.0,Amazon,sub,https://cdn.watchmode.com/provider_logos/573_generic_v4.png,,,,,"['IT', 'JP', 'US']"
405,Darkmatter TV,,,sub,https://cdn.watchmode.com/provider_logos/405_generic_v4.png,,,,darkmatter,"['US', 'CA']"
530,DAZN,,,sub,https://cdn.watchmode.com/provider_logos/530_generic_v4.png,,,,,['US']
86,Destination America GO,,,tve,https://cdn.watchmode.com/provider_logos/dest_america_go_100px.png,http://itunes.apple.com/app/id1111281674,https://play.google.com/store/apps/details?id=com.discovery.damgo,dam-go,dam-go,['US']
520,DIRECTV Stream,,,sub,https://cdn.watchmode.com/provider_logos/520_generic_v4.png,,,,,['US']
91,Discovery GO,,,tve,https://cdn.watchmode.com/provider_logos/discovery_go_100px.png,http://itunes.apple.com/app/id1039067950,https://play.google.com/store/apps/details?id=com.discovery.discoverygo,discovery-go,dsc-go,['US']
93,Discovery Life GO,,,tve,https://cdn.watchmode.com/provider_logos/discover_life_go_100px.png,http://itunes.apple.com/app/id1111281680,https://play.google.com/store/apps/details?id=com.discovery.dlfgo,dlf-go,dlf-go,['US']
445,Discovery+,,,sub,https://cdn.watchmode.com/provider_logos/445_generic_v4.png,,,,discoveryplus,"['AT', 'CA', 'DE', 'GB', 'IE', 'IN', 'IT', 'US']"
493,Discovery+ (Via Amazon Prime),24.0,Amazon,sub,https://cdn.watchmode.com/provider_logos/493_generic_v4.png,,,,,"['AT', 'CA', 'DE', 'GB', 'IN', 'IT', 'US']"
639,Elisa Viihde,,,sub,https://cdn.watchmode.com/provider_logos/639_generic_v4.png,,,,,['FI']
526,ESPN,,,tve,https://cdn.watchmode.com/provider_logos/526_generic_v4.png,,,,,['US']
525,ESPN Deportes,,,tve,https://cdn.watchmode.com/provider_logos/525_generic_v4.png,,,,,['US']
521,ESPN+,,,sub,https://cdn.watchmode.com/provider_logos/521_generic_v4.png,,,,,['US']
585,F1TV Pro,,,sub,https://cdn.watchmode.com/provider_logos/585_generic_v4.png,,,,,['CA']
308,Fandango at Home Free,,,free,https://cdn.watchmode.com/provider_logos/fandangoAtHome_100px.png,http://itunes.apple.com/app/vudu-player-movies-tv/id487285735,https://play.google.com/store/apps/details?id=air.com.vudu.air.DownloaderTablet,vuduapp,vuduapp,['US']
436,Fetch TV,,,purchase,https://cdn.watchmode.com/provider_logos/436_generic_v4.png,,,,,['AU']
617,filmingo,,,purchase,https://cdn.watchmode.com/provider_logos/617_generic_v4.png,,,,,"['AT', 'CH', 'DE']"
422,Flix Premiere,,,sub,https://cdn.watchmode.com/provider_logos/422_generic_v4.png,,,,,"['US', 'GB']"
399,FlixFling,,,sub,https://cdn.watchmode.com/provider_logos/flixfling_100px.png,,,,,"['US', 'CA']"
531,Flo Rugby,,,sub,https://cdn.watchmode.com/provider_logos/531_generic_v4.png,,,,,['US']
516,FOD,,,sub,https://cdn.watchmode.com/provider_logos/516_generic_v4.png,,,,,['JP']
